Group,Phytoplankton,Bacteria,Microzooplankton,GelZooplankton,LgCopepods,SmCopepods,Micronekton,Illex,Loligo,OtherCephalopods,Macrobenthos,AmLobster,OceanPout,SmPelagics,SmFlatfishes,NShrimp,OtherShrimps,RiverHerring,AtlScallop,OtherPelagics,AtlHerring,Mesopelagics,YTFlounder,Cod,Haddock,AmPlaice,AtlMackerel,AtlHalibut,SummerFlounder,Cusk,OtherDemersals,HMS,OtherSkates,RedHake,Barndoor,Fourspot,SmoothDogfish,Pollock,Goosefish,SilverHake,WhiteHake,SpinyDogfish,Redfish,LittleSkate,SeaBirds,Windowpane,WinterFlounder,WitchFlounder,BlackSeaBass,Butterfish,Sharks,WinterSkate,Pinnipeds,BaleenWhales,Odontocetes,Megabenthos
Barndoor,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0
Fourspot,NA,0,0,0,0,0,0,0,0,0,1.27E-06,4.12E-06,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.29E-05,0,NA,NA,NA,NA,NA,NA,0.00066328,NA,NA,0.002176956,NA,NA,2.84E-05,NA,NA,NA,NA,NA,7.90E-05,NA,0.000357182,2.18E-05,0.000158206,2.25E-06
SmoothDogfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pollock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001690248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000648313,NA,NA,NA,0.01064046,0.00294974,NA,0.001219228,0.001351622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goosefish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00827064,NA,NA,NA,NA,NA,NA,NA,NA,0.002957414,NA,0.00593241,NA,NA,NA,0.012015273,NA,0.000533412,0.00248614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SilverHake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110449395,0.021841708,NA,NA,0.170793452,0.021718232,0.00525309,0.001070824,0.111443649,0.152910513,0.05101086,NA,NA,0.04786722,0.102131261,0.049826753,0.068895843,0.055325035,0.256963249,0.151834773,0.205981114,0.348788645,0.059403709,0.095038285,0.017293761,NA,0.003280954,NA,NA,NA,NA,NA,0.046066747,NA,NA,NA,NA
WhiteHake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00410985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033179655,2.33E-05,0.015966956,0.001267146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SpinyDogfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001238744,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85E-05,NA,NA,NA,NA,0.015977756,NA,NA,0.001313608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Redfish,NA,0,0,0,0,0,0,0,0,0,0.000112576,0.000363808,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.014455395,0.004414577,0.002857333,NA,0.017591448,NA,0.163963478,0.004679723,0,0.020975461,0.0005983,0.060186499,0.005969547,NA,0.002384244,0.089437486,0.001610528,0.025415292,0.00833613,0.001511132,0.000886018,0.002509938,NA,NA,NA,NA,NA,0.006987341,NA,0.031574889,0.001923486,0.013985384,0.000198773
LittleSkate,NA,0,0,0,0,0,0,0,0,0,1.38E-05,4.44E-05,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000571731,0,6.65E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000306644,NA,NA,NA,0.087526403,NA,0.000853657,NA,0.003857566,0.000234996,0.001708622,2.43E-05
SeaBirds,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,7.41E-05,NA,NA,NA,3.35E-07,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.03340645,NA,0,NA,0,0
Windowpane,NA,0,0,0,0,0,0,0,0,0,2.04E-06,6.58E-06,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,7.09E-05,NA,NA,NA,NA,NA,NA,8.47E-05,0,0.00199491,NA,NA,NA,NA,NA,0.000983247,NA,NA,0.000844764,NA,NA,4.54E-05,NA,NA,NA,NA,NA,0.000126468,NA,0.000571491,3.48E-05,0.000253129,3.60E-06
WinterFlounder,NA,0,0,0,0,0,0,0,0,0,2.45E-05,7.90E-05,NA,0,NA,0,0,NA,0,0.026591428,NA,NA,NA,0.009073744,NA,NA,NA,NA,NA,NA,0.00101641,0,NA,NA,NA,NA,NA,NA,0.006132419,NA,0.001950071,0.007176269,NA,0.003691742,0.000545145,NA,NA,NA,NA,NA,0.001517613,NA,0.006857894,0.000417771,0.00303755,4.32E-05
WitchFlounder,NA,0,0,0,0,0,0,0,0,0,4.30E-05,0.000139103,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.002529584,NA,NA,NA,0.035685508,NA,NA,0.001789306,0,0.004640183,0.000150853,0.006591567,NA,NA,0.000126512,0.007747983,1.44E-05,0.001156933,0.000442234,NA,NA,0.000959682,NA,NA,NA,NA,NA,0.00267163,0.000442241,0.012072752,0.00073545,0.005347353,7.60E-05
BlackSeaBass,NA,0,0,0,0,0,0,0,0,0,1.43E-07,1.71E-06,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.000121559,NA,NA,NA,NA,NA,NA,1.20E-05,0,NA,NA,NA,NA,NA,NA,0.000206482,9.69E-05,NA,0.00046462,NA,0.000344563,2.62E-05,NA,NA,NA,NA,NA,0.000176579,NA,4.86E-05,2.19E-05,9.05E-05,9.35E-07
Butterfish,NA,0,0,1.62E-05,0,0,0,0.000340701,0.000340701,0.000340701,0,0,NA,0,NA,0,0,NA,0,0.076934699,NA,NA,NA,0.0020173,0.002229243,NA,0.011422122,NA,0.179843614,NA,0.002183337,0.008146893,NA,NA,NA,0.002567547,0.053250346,0.004357643,0.002882287,0.008299198,NA,0.009491766,NA,NA,0.014101785,NA,NA,NA,NA,NA,0.010572784,NA,0.006147856,0.007012373,0.010345219,0
Sharks,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0.001736556,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000168953,NA,NA,0,NA,NA,NA,NA,NA,0.03340645,NA,0,NA,0,0
WinterSkate,NA,0,0,0,0,0,0,0,0,0,3.11E-05,0.000100418,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001291688,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000692788,NA,NA,NA,NA,NA,0.001928633,NA,0.008715241,0.000530917,0.003860219,5.49E-05
Pinnipeds,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.03340645,NA,0,NA,0,0
BaleenWhales,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.01113548,NA,0,NA,0,0
Odontocetes,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000253429,NA,NA,0,NA,NA,NA,NA,NA,0.02227096,NA,0,NA,0,0
Megabenthos,NA,0,0,0,0,0,0,0,0,0,0.005178639,0.050187332,0.157368143,0,NA,0,0,0.013469511,0,1.55E-06,0.000284158,NA,0.007675754,0.104699108,0.028459911,0.014423212,0.000475922,0.168798623,0.007819288,0.022136726,0.145236999,0,0.052486095,0.044851572,0.51753193,0.01734378,0.576763485,0.00136277,0.000815174,0.00139332,0.008668139,0.018415913,0.00183449,0.129638779,0,NA,0.016246279,0.004953055,0.237116982,NA,0,0.033549122,0,NA,0,0.027420788
Detritus,NA,0.5694807,0.4940658,0.1000336,0.06195949,0.130568,0.184,0,0,0,0.398659863,0.18084539,NA,0,NA,0.21198369,0.21198369,NA,0.0902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02418782,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.05567741,NA,0,NA,0,0.139725805
Discards,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0091007,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
Import,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
